Name,TeamAbbrev,Game Info,Position,Salary,projPoints,variance,Ownership,Leverage,inPool,PassingC/A,PassingYds,PassingTDs,PassingInts,TeamTotalRushingAtt,%RushingAtt,RushingAtt,TeamTotalRushingYds,%RushingYds,RushingYds,TeamTotalRushingTDs,%RushingTDs,RushingTDs,ReceivingTGTS,TeamTotalReceivingRec,%ReceivingRec,ReceivingRec,TeamTotalReceivingYds,%ReceivingYds,ReceivingYds,TeamTotalReceivingTDs,%ReceivingTDs,ReceivingTDs,ReceivingTGTS,Roster Position,ID
Will Dissly,SEA,SEA@TEN 12/24/2023 01:00PM ET,TE,2500.0,2.9330000000000003,13.40014224947155,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,26.740000000000002,0.0,0.0,109.96000000000001,0.0,0.0,0.83,0.0,0.0,1.64,21.53,5.52717138875987,1.19,241.79999999999998,5.22332506203474,12.63,1.49,5.369127516778524,0.08,1.64,TE/FLEX,31794752
Josh Whyle,TEN,SEA@TEN 12/24/2023 01:00PM ET,TE,2500.0,1.49,8.416288257439357,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,28.15,0.0,0.0,121.06,0.0,0.0,0.8899999999999999,0.0,0.0,0.9,19.49,3.129810159055926,0.61,222.86,2.871758054383918,6.4,1.05,3.8095238095238093,0.04,0.9,TE/FLEX,31794758
John Bates,WAS,WAS@NYJ 12/24/2023 01:00PM ET,TE,2500.0,1.484,8.428711001136294,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,26.33,0.0,0.0,109.12,0.0,0.0,0.65,0.0,0.0,0.98,21.08,3.178368121442126,0.67,213.96,2.963170686109553,6.34,0.96,3.125,0.03,0.98,TE/FLEX,31794766
Cole Turner,WAS,WAS@NYJ 12/24/2023 01:00PM ET,TE,2500.0,0.488,5.782491574189186,0.001,0.0,1,0.00/0.00,0.0,0.0,0.0,26.33,0.0,0.0,109.12,0.0,0.0,0.65,0.0,0.0,0.33,21.08,1.0436432637571158,0.22,213.96,0.972144326042251,2.08,0.96,1.0416666666666667,0.01,0.33,TE/FLEX,31794768
Jeremy Ruckert,NYJ,WAS@NYJ 12/24/2023 01:00PM ET,TE,2500.0,3.796,15.92096656789026,2.3,7.669892128683721e-05,1,0.00/0.00,0.0,0.0,0.0,28.610000000000003,0.0,0.0,125.24,0.0,0.0,0.76,0.0,0.0,2.47,18.39,8.482871125611746,1.56,205.62,7.664624063807023,15.76,1.1900000000000002,9.243697478991596,0.11,2.47,TE/FLEX,31794776
Josh Oliver,MIN,DET@MIN 12/24/2023 01:00PM ET,TE,2500.0,2.555,11.49570531894859,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,25.73,0.0,0.0,108.06,0.0,0.0,0.87,0.0,0.0,1.63,23.26,4.600171969045571,1.07,261.66,3.8408621875716578,10.05,1.52,5.263157894736842,0.08,1.63,TE/FLEX,31794784
Johnny Mundt,MIN,DET@MIN 12/24/2023 01:00PM ET,TE,2500.0,0.601,6.545481337027248,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,25.73,0.0,0.0,108.06,0.0,0.0,0.87,0.0,0.0,0.36,23.26,1.0748065348237317,0.25,261.66,0.8828250401284108,2.31,1.52,1.3157894736842104,0.02,0.36,TE/FLEX,31794786
Harrison Bryant,CLE,CLE@HOU 12/24/2023 01:00PM ET,TE,2500.0,2.403,10.720069172902901,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,31.31,0.0,0.0,130.21,0.0,0.0,1.07,0.0,0.0,1.61,19.68,5.386178861788618,1.06,226.16,4.346480367881147,9.83,1.07,5.6074766355140175,0.06,1.61,TE/FLEX,31794802
Jordan Akins,CLE,CLE@HOU 12/24/2023 01:00PM ET,TE,2500.0,1.986,9.082124857227766,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,31.31,0.0,0.0,130.21,0.0,0.0,1.07,0.0,0.0,1.29,19.68,4.268292682926829,0.84,226.16,4.006013441811108,9.06,1.07,3.7383177570093453,0.04,1.29,TE/FLEX,31794804
Eric Saubert,HOU,CLE@HOU 12/24/2023 01:00PM ET,TE,2500.0,0.449,5.60319858932931,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,28.16,0.0,0.0,119.78,0.0,0.0,0.7,0.0,0.0,0.32,19.26,1.0903426791277258,0.21,203.92000000000002,0.8777952138093369,1.79,1.08,0.9259259259259258,0.01,0.32,TE/FLEX,31794808
Ian Thomas,CAR,GB@CAR 12/24/2023 01:00PM ET,TE,2500.0,0.436,5.47424120796698,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,29.76,0.0,0.0,130.04000000000002,0.0,0.0,0.76,0.0,0.0,0.3,18.830000000000002,1.0621348911311734,0.2,182.96,0.9619588981198076,1.76,0.9299999999999999,1.0752688172043012,0.01,0.3,TE/FLEX,31794814
Stephen Sullivan,CAR,GB@CAR 12/24/2023 01:00PM ET,TE,2500.0,3.144,13.80742664281749,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,29.76,0.0,0.0,130.04000000000002,0.0,0.0,0.76,0.0,0.0,2.12,18.830000000000002,7.3818374933616555,1.39,182.96,7.291211193703541,13.34,0.9299999999999999,7.526881720430109,0.07,2.12,TE/FLEX,31794816
Ben Sims,GB,GB@CAR 12/24/2023 01:00PM ET,TE,2500.0,2.111,9.74005410862901,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,27.580000000000002,0.0,0.0,122.14999999999999,0.0,0.0,0.77,0.0,0.0,1.31,20.7,4.202898550724638,0.87,221.05,3.9855236371861573,8.81,1.35,4.444444444444444,0.06,1.31,TE/FLEX,31794824
Mo Alie-Cox,IND,IND@ATL 12/24/2023 01:00PM ET,TE,2500.0,3.479,14.33482178824829,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,26.93,0.0,0.0,124.25,0.0,0.0,0.87,0.0,0.0,2.07,20.3,6.699507389162562,1.36,216.25,7.3017341040462425,15.79,1.18,7.627118644067797,0.09,2.07,TE/FLEX,31794836
Will Mallory,IND,IND@ATL 12/24/2023 01:00PM ET,TE,2500.0,1.622,8.224279720748958,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,26.93,0.0,0.0,124.25,0.0,0.0,0.87,0.0,0.0,1.04,20.3,3.4482758620689653,0.7,216.25,3.153757225433526,6.82,1.18,3.389830508474576,0.04,1.04,TE/FLEX,31794838
MyCole Pruitt,ATL,IND@ATL 12/24/2023 01:00PM ET,TE,2500.0,0.7649999999999999,7.655846764974695,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,32.26,0.0,0.0,137.39,0.0,0.0,1.16,0.0,0.0,0.44,17.16,1.631701631701632,0.28,195.88,1.5570757606697978,3.05,1.3,2.3076923076923075,0.03,0.44,TE/FLEX,31794844
Tucker Fisk,ATL,IND@ATL 12/24/2023 01:00PM ET,TE,2500.0,1.196,9.305548007271346,0.0,1.0,1,0.00/0.00,0.0,0.0,0.0,32.26,0.0,0.0,137.39,0.0,0.0,1.16,0.0,0.0,0.74,17.16,2.738927738927739,0.47,195.88,2.4811108842148255,4.86,1.3,3.0769230769230766,0.04,0.74,TE/FLEX,31794846
Packers,GB,GB@CAR 12/24/2023 01:00PM ET,DST,3900.0,9.1,40.684179284987124,4.2,2.4876183649531147,1,0,0.0,0.0,0.0,27.580000000000002,0.0,0.0,122.14999999999999,0.0,0.0,0.77,0.0,0.0,0.0,20.7,0.0,0.0,221.05,0.0,0.0,1.35,0.0,0.0,0.0,DST,31794854
Colts,IND,IND@ATL 12/24/2023 01:00PM ET,DST,3800.0,6.6,39.04230637774576,0.4,12.925480950828886,1,0,0.0,0.0,0.0,26.93,0.0,0.0,124.25,0.0,0.0,0.87,0.0,0.0,0.0,20.3,0.0,0.0,216.25,0.0,0.0,1.18,0.0,0.0,0.0,DST,31794855
Commanders,WAS,WAS@NYJ 12/24/2023 01:00PM ET,DST,3700.0,7.7,39.6641923798546,4.4,1.6320985803877097,1,0,0.0,0.0,0.0,26.33,0.0,0.0,109.12,0.0,0.0,0.65,0.0,0.0,0.0,21.08,0.0,0.0,213.96,0.0,0.0,0.96,0.0,0.0,0.0,DST,31794856
Texans,HOU,CLE@HOU 12/24/2023 01:00PM ET,DST,3600.0,6.8,36.04102096008855,3.9,1.2690658610372798,1,0,0.0,0.0,0.0,28.16,0.0,0.0,119.78,0.0,0.0,0.7,0.0,0.0,0.0,19.26,0.0,0.0,203.92000000000002,0.0,0.0,1.08,0.0,0.0,0.0,DST,31794857
Lions,DET,DET@MIN 12/24/2023 01:00PM ET,DST,3500.0,6.4,34.61085704033667,2.1,1.9587411230247394,1,0,0.0,0.0,0.0,28.39,0.0,0.0,121.85,0.0,0.0,1.02,0.0,0.0,0.0,23.04,0.0,0.0,244.64,0.0,0.0,1.6800000000000002,0.0,0.0,0.0,DST,31794858
Browns,CLE,CLE@HOU 12/24/2023 01:00PM ET,DST,3400.0,7.8,41.782641571824065,6.8,1.1414774599839799,1,0,0.0,0.0,0.0,31.31,0.0,0.0,130.21,0.0,0.0,1.07,0.0,0.0,0.0,19.68,0.0,0.0,226.16,0.0,0.0,1.07,0.0,0.0,0.0,DST,31794859
Falcons,ATL,IND@ATL 12/24/2023 01:00PM ET,DST,3300.0,6.9,36.46304167518308,3.7,1.4006506986719904,1,0,0.0,0.0,0.0,32.26,0.0,0.0,137.39,0.0,0.0,1.16,0.0,0.0,0.0,17.16,0.0,0.0,195.88,0.0,0.0,1.3,0.0,0.0,0.0,DST,31794860
Seahawks,SEA,SEA@TEN 12/24/2023 01:00PM ET,DST,3200.0,8.3,37.4790482729999,6.5,1.2278210573145136,1,0,0.0,0.0,0.0,26.740000000000002,0.0,0.0,109.96000000000001,0.0,0.0,0.83,0.0,0.0,0.0,21.53,0.0,0.0,241.79999999999998,0.0,0.0,1.49,0.0,0.0,0.0,DST,31794861
